"Session Wednesday 30 September 2026 - 09:00-11:00 - Area 3 - Oral 3 - Multimodal Emotion Recognition","Paper ID ","Time ","Paper Title ","Presenting Author ","Abstract ","Authors ","Bio ","CN tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","2935","09:00-09:20","Comparative Reasoning: Making an Audio Language Model Better at Comparing Emotions","Abinay Reddy Naini","Large audio-language models (LALMs) can reason about audio, yet it remains unclear whether they can perform comparative judgments between two speech signals along emotional, environmental, linguistic, prosodic, and interpersonal dimensions. We study this question in the context of speech emotion recognition (SER), where the model determines which utterance exhibits higher arousal, valence, or dominance. We introduce a reasoning-guided ordinal SER framework that conditions an LALM on paired speech inputs. The model is trained using reasoning traces generated from both semantic audio descriptions and acoustic evidence derived from GeMAPS features, enabling interpretable comparative decisions. Beyond direct supervision, we also employ direct preference optimization to encourage stronger separation for emotional differences. Experiments show that the proposed framework improves preference prediction while requiring only 5% of the training data used by conventional ordinal SER systems.","Abinay Reddy Naini(Carnegie Mellon University; The University of Texas at Dallas); Jaeyeon Kim(Carnegie Mellon University); Chao-Han Huck Yang(NVIDIA); Shinji Watanabe(Carnegie Mellon University); Carlos Busso(Carnegie Mellon University)","","","","","","","","","","","","","","","","","","","",""
"Oral","1363","09:20-09:40","Exploring the effect of the visual channel in vocal expression of affect in an Irish (Gaelic) synthetic voice","Ailbhe Ní Chasaide","This paper explores the effects of the visual context on the perception of emotion in synthesised speech. Vocal stimuli targeting the affects angry, happy, sad, bored and relaxed were created through voice source modifications to a synthetic utterance. These were combined with facial expressions targeting the same affects with the addition of interested. A perception test was conducted with the following combinations: (i) voice only (no visuals), (ii) congruent (matching vocal and visual affect) and (iii) incongruent (opposing vocal and visual affect). The initial hypothesis that the addition of congruent visual context would enhance the perception of the targeted affect received little support. While this points to a dominance of the vocal channel, the results for the incongruent stimuli underline the importance of the visual channel. A second hypothesis that the visual information would allow for better discrimination among high- (or low-) activation states was largely borne out.","Anna Maria Giovannini(Trinity College Dublin); Zihan Wang(Trinity College Dublin); Ailbhe Ní Chasaide(Trinity College Dublin); Christer Gobl(Trinity College Dublin)","","","","","","","","","","","","","","","","","","","",""
"Oral","1437","09:40-10:00","ParaSpeechCLAP: A Dual-Encoder Speech-Text Model for Rich Stylistic Language-Audio Pretraining","Anuj Diwan","We introduce ParaSpeechCLAP, a family of dual-encoder models that map speech and text style captions into a shared embedding space, supporting rich intrinsic (speaker-level) and situational (utterance-level) descriptors, such as pitch, texture, and emotion, beyond the narrow set handled by existing models. We train separate Intrinsic and Situational models alongside a unified Combined model, finding that specialized models are stronger on individual style dimensions while the unified model excels on compositional evaluation. We further show that ParaSpeechCLAP-Intrinsic benefits from an additional classification loss and class-balanced training. We demonstrate performance on style caption retrieval, speech attribute classification, and usability as inference-time reward models for style-prompted TTS. ParaSpeechCLAP models outperform baselines on most metrics across all three applications. Our models and code are released at https://github.com/ajd12342/paraspeechclap.","Anuj Diwan(The University of Texas at Austin); Eunsol Choi(New York University); David Harwath(The University of Texas at Austin)","","","","","","","","","","","","","","","","","","","",""
"Oral","2383","10:00-10:20","Daily Affect Inference from Longitudinal Speech-based Journals: A Comparison of Acoustic and Linguistic Models","Michelle D Schlicher","Speech-based journaling provides both acoustic cues and semantically rich content, offering strong potential for mental health monitoring. But how well do current models infer indicators such as mood and stress from naturalistic data? We introduce a longitudinal corpus of 61 speakers and 769 daily recordings, labeled with the Multidimensional Mood Questionnaire and Perceived Stress Scale, to compare eGeMAPS and wav2vec2 models with GBERT-large and zero-shot Mistral-7B-Instruct. We reveal that linguistic models clearly dominate at the population-level: GBERT reaches .122 concordance for arousal, and Mistral .466 for valence and .360 for stress, whereas acoustic results are near zero. Mistral, however, is geared towards inferring trait-like differences rather than daily speaker variations. The acoustics indicate a relation between pause variations and valence at the speaker-level. We conclude that our models are limited in their ability to monitor individuals and require personalization.","Michelle D Schlicher(TUM University Hospital); Andreas Triantafyllopoulos(TUM University Hospital); Nadine N Schmitt(University of Tübingen; FA-University of Erlangen-Nuremberg); Johanna Löchner(FA-University of Erlangen-Nuremberg); Björn W Schuller(TUM University Hospital; Imperial College London)","","","","","","","","","","","","","","","","","","","",""
"Oral","868","10:20-10:40","Enhancing Visual Paralinguistics: Motion-Guided Spatial Denoising for Non-Verbal Interaction Analysis","Junjie Wan","In Human-Computer Interaction, non-verbal cues like micro-gestures are essential for understanding human intent alongside speech. However, extracting these subtle movements in unconstrained environments is difficult due to severe visual clutter and spatial ambiguity. We propose a signal processing-inspired framework centered on a Motion-Guided Spatial Refinement Module (MG-SRM). Rather than relying solely on heavy spatial encoders, MG-SRM utilizes multi-order temporal differences to explicitly filter out static background artifacts in pose heatmaps. In addition, we introduce a Class-Learnable Fusion (CLF) strategy that adapts modality weights based on action semantics, prioritizing input streams according to the target micro-gesture. Experiments on the challenging MA-52 dataset show that our approach achieves state-of-the-art performance by directly improving the signal-to-noise ratio of micro-movements. Our proposed framework is highly accurate and computationally efficient, providing a robust visual frontend for multimodal conversational systems.","Junjie Wan(Harbin Inst. of Tech.)","","","","","","","","","","","","","","","","","","","",""
"Oral","1399","10:40-11:00","Modality Importance is Not Static: Temporal Dynamics via Gating in Multimodal Emotion Recognition","Jiyeon Ryu","Multimodal emotion recognition is inherently dynamic, as the importance of text, speech, and visual signals changes across time. However, most existing systems rely on static fusion, implicitly assuming time-invariant modality contribution and ignoring temporal variation. We present a temporal fusion framework that models modality importance as a time-varying, class-conditional distribution. A GRU-based module applies emotion-query gating to adapt modality weights over dialogue context. Under 6-class IEMOCAP LOSO evaluation, temporal modeling improves over static fusion (+9.01 in mean(F1, UA)), and gating further improves over temporal modeling without gating (+1.63), while outperforming Transformer-based fusion with fewer parameters. Perturbation-based occlusion and Area Over the Perturbation Curve(AOPC) provide evidence that modality importance is non-stationary across time, suggesting multimodal emotion recognition as a dynamic decision process rather than a static fusion problem.","Jiyeon Ryu(GIST); SeongHun Noh(Gwangju Institute of Science and Technology (GIST)); Jin-Hyuk Hong(Gwangju Institute of Science and Technology (GIST)); Woojin Kang(Gwangju Institute of Science and Technology (GIST))","","","","","","","","","","","","","","","","","","","",""
"Wednesday 30 September 2026 - 09:00-11:00 - Area 4 - Oral 8 - Speaker Verification: Architectures, Losses, and LLMs","","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","1447","09:00-09:20","ReDimNet2: Scaling Speaker Verification via Time-Pooled Dimension Reshaping","Ivan Yakovlev","We present ReDimNet2, an improved neural network architecture for extracting utterance-level speaker representations that builds upon the ReDimNet dimension-reshaping framework. The key modification in ReDimNet2 is the introduction of pooling over the time dimension within the 1D processing pathway. This operation preserves the nature of the 1D feature space, since 1D features remain a reshaped version of 2D features regardless of temporal resolution, while enabling significantly more aggressive scaling of the channel dimension without proportional compute increase. We introduce a family of seven model configurations (B0-B6) ranging from 1.1M to 12.3M parameters and 0.33 to 13 GMACs. Experimental results on VoxCeleb1 benchmarks demonstrate that ReDimNet2 improves the Pareto front of computational cost versus accuracy at every scale point compared to ReDimNet, achieving 0.287% EER on Vox1-O with 12.3M parameters and 13 GMACs.","Ivan Yakovlev(Palabra AI); Anton Okhotnikov(Palabra AI)","","","","","","","","","","","","","","","","","","","",""
"Oral","1135","09:20-09:40","Text-Independent Speaker Verification Using Discrete Audio Tokens","Zheng Liang","Neural audio codecs (NACs) enable efficient audio compression and have achieved success in downstream tasks such as speech synthesis. However, their discrete representations consistently underperform traditional spectral features in automatic speaker verification (ASV). We empirically demonstrate that speaker cues are implicitly preserved in discrete tokens but remain underutilized by conventional ASV training paradigms. To address this, we propose a Cross-Feature Knowledge Distillation (CFKD) framework. By guiding the codec-based student to mimic the embedding space of a strong Fbank-based teacher, CFKD provides structured supervision for effective utilization of speaker information in tokens. Experiments on the VoxCeleb benchmarks show that CFKD substantially improves the ASV performance of codec-based systems, allowing them to approach the accuracy of Fbank-based teacher models and highlighting the potential of discrete audio tokens for diverse speech tasks.","Zheng Liang(The Hong Kong Polytechnic University); Junjie Li(The Hong Kong Polytechnic University); Kong Aik Lee(The Hong Kong Polytechnic University)","","","","","","","","","","","","","","","","","","","",""
"Oral","11","09:40-10:00","Temporal Ensembling Threshold and Neighbor-Aware Label Mixup for Speaker Verification with Open-Set Noisy Labels","Liang He","During large-scale speaker dataset collection, noisy labels are unavoidable and seriously affect model training. Existing methods mainly alleviate noisy label effects via sample selection or label correction, but for open-set noisy samples, corrected labels remain inaccurate. This paper proposes a Temporal Ensembling Threshold and Neighbor-Aware Label Mixup (TET-LM) method. This method models the embedding similarity with a two-component GMM in each epoch and calculates the ensemble threshold using exponential moving average to distinguish clean labels from noisy labels. In addition, we generate mixed labels through the neighbor-aware mechanism to effectively mitigate the correction bias of open-set noisy samples. We further design a multi-stage training strategy. Experiments on VoxCeleb show TET-LM improves system robustness under various noisy label conditions, with EER and minDCF reduced by 54% and 42% over standard methods (52% and 40% vs. the best baseline).","Zhihua Fang(Xinjiang University; AGIBOT); Shumei Tao(Xinjiang University); Liang He(Xinjiang University; Tsinghua University)","","","","","","","","","","","","","","","","","","","",""
